masked_words|abs_decrease_on_replacement
illness|0.050150091619842144
machinations|0.050057332935125876
marxist|0.0500451507773388
sworn|0.05001193401255407
disease|0.04995596965217332
certificate|0.04988527623243989
closely|0.04986550114144216
czar|0.04972325709546983
dereliction|0.04966001550704502
inappropriate|0.049537428493427835
repetitive|0.049504943248232215
manhattans|0.04936603443606315
40|0.04916385067993832
lax|0.049103392141084765
complete|0.048862901608109716
interact|0.04872086945145489
hate|0.04869179511148621
useless|0.04856580951575971
extremely|0.04849032495299265
terrible|0.048489612825714845
dearly|0.048472189021165554
dry|0.04837657286642271
funds|0.04825197876163201
disturbed|0.04822039832559338
beastity|0.04807583469973322
kids|0.047976276159350066
approximately|0.04792878599249325
ferry|0.047903778840685605
imagination|0.047867682099752375
refugees|0.04777063634776319
suppose|0.04769392574048893
write|0.04768676333096369
block|0.0476829930719506
justme33355|0.04766911041096621
gruber|0.047596212616573916
grand|0.047585042430883226
backdoor|0.04752043029368429
shared|0.04751998425657402
citizens|0.047490119210211776
shall|0.04737185517064494
hostile|0.04719699346252159
requires|0.04716216258500912
kept|0.046914309507612516
dude|0.04690980643633179
brightess|0.04685692037408201
forewarn|0.04685460015907424
sinks|0.04679291090705835
face|0.04675201700708391
forefront|0.04672804766191811
stole|0.04668790188839579
cleansing|0.04667026756227466
diagnosis|0.04653977448630224
eating|0.0464494551242781
liberal/lamocrats|0.04616354997843515
airplanes|0.04614264791405508
madness|0.046116911405498895
incursion|0.04608099052133596
sanders|0.0460592702897858
wall|0.04598457977581658
village|0.04596582980196508
jail|0.04595890080944788
compassion|0.04594614870233184
1961|0.04594078443640969
glance|0.045923276557668584
toss|0.045921674738018885
crown|0.04566087941013221
jokes|0.04559061030430176
exhibiting|0.045525346110049665
tenured|0.04542958511708057
dont|0.045378700278021315
obama-|0.04532699935902779
firlmy|0.04518380382440264
workee|0.04505544198548027
br782|0.04494443770152592
rid|0.044939622408483745
joe|0.04492516844309172
san|0.04463671962844985
haaaaa|0.0445717403592948
dumbing|0.04438950188978534
discussion|0.04435511274337386
knuckleheads|0.04435178104413625
waste|0.044344547133140295
muslims|0.04433411012702961
claim|0.044304137350018015
obamma|0.04430354094143611
circulating|0.04423971878194598
killing|0.044233180543243905
misery|0.044201370265413556
j|0.04416748721431916
provided|0.04415670683210236
object|0.044145011000705815
a55|0.044090237792508404
democrats|0.04397431204786915
palin|0.043875385588565005
strap|0.04386613930934764
cow-tow|0.04385353671365759
garnering|0.04382454224555806
odumbo|0.043753470283645846
nightly|0.043745186238292266
shoot|0.04369032175419209
unable|0.04361713466458668
embarrassed|0.04357286283923388
fascinating|0.04347422706665991
vitriol|0.043450406859266565
murderer|0.04344445880974708
boyfriend|0.04343092844771
u.c.m.j|0.04339740933980969
ideas|0.0433939619678845
habit|0.043375354470660245
toys|0.04331896656663031
wounds|0.04297493758132999
brown|0.04282462251909165
fail|0.042789035843389035
aspirin|0.04276101763031328
emotions|0.04266497248774013
ridding|0.0426085811039079
barack|0.0425897188634008
differently|0.04254188698435426
means|0.04251404825873898
ignoring|0.04234070218354781
home|0.04233185750415612
contracts|0.04224192098319261
identifies|0.042032531911168534
lbj|0.04198347582608759
americans|0.0419412185323043
punishment|0.04185979666643137
mentally|0.04184696811397014
lemmings|0.04181210751936342
soho|0.04172660141500926
hypocrisy|0.04170180300065187
lord|0.04159485683842272
lack|0.04142603956448536
aiding|0.04133706228232314
engineer|0.04130796452031789
groups|0.041263437622625465
paying|0.041204196261761215
india|0.0410936359452327
police|0.04106304696323062
folks|0.0409841242360634
tinfoil|0.04086994345670616
largely|0.04086150873081107
advisable|0.04080877671639892
hat|0.04078168217310786
diaper|0.040689687483893414
christians|0.04067513842299076
.like|0.04063948321139834
cowardly|0.040502032936946784
abortion|0.04049689896991687
masse|0.04046608317686868
sez|0.04044889768678957
struggli|0.04035807243436769
facilities|0.040212133318189555
law|0.040203738561201616
obama|0.040193125586592
supported|0.040143799490794274
germans|0.0400585603277736
hillary|0.039871748170276805
deportation|0.039812652032374815
stage|0.039806561092040164
stick|0.03974061342863052
fan⁠tas⁠ies|0.03972292458588148
ssm|0.03962798665836329
sustenance|0.03962642336960341
boots|0.039502760389162214
different|0.03946866096766383
pantyhose|0.03941420499222199
preaches|0.039320312813416726
curing|0.039296458748536836
genocide|0.03928954005658082
desired|0.03928033357207461
comments|0.0392211514251148
conversations|0.03920925222821779
tolerant|0.03911634446498273
judicial|0.03908243684306718
rudder|0.03907101904657005
alinsky|0.0390438919986096
roll|0.03901492804176243
sake|0.039010589598423885
transgender|0.038996853300203596
affirmitive|0.038984841858210585
cesspool|0.03897905052083385
roman|0.03896480914198446
actions|0.038948244384447626
en|0.03894458804771314
politician|0.03889050199405072
proving|0.03888061700396491
period|0.03887749502489053
spend|0.03887234661188587
failed|0.03883825723700555
hand|0.03872751483802633
vacate|0.03872288279027116
donors|0.03871426070487867
cares|0.03863354371347499
influential|0.03856687758632153
throughout|0.0385536243214625
non-nationals|0.0384817941509885
hamburger|0.0384663975060628
quest|0.03833377679581222
distinguished|0.03829794165067424
refuse|0.038292040205073624
happened|0.038135859496922546
te|0.03796100268132499
communists|0.03794525805668706
imagine|0.037922929904503244
smartest|0.03783263485401574
obviously|0.03768478667399742
stopped|0.03767243725864535
lowers|0.03762753692252565
144|0.03762139656224968
caliphate|0.03760845322202566
govener|0.03755617723689889
founded|0.03752489618151209
chicongo|0.03751756012064526
powerful|0.037455679915142016
brought|0.03742054230632277
befall|0.03739324226578192
hacks|0.037370448745170155
